Day,Group,Metric,Unit,Amount
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,96.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,89.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,102.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,111.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,111.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,112.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,112.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,115.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,115.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,116.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,116.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,117.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,117.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,121.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,121.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,124.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,124.0
